Designator,Footprint,Quantity,Value,LCSC Part #
C1,MKP10_630V,1,33nF,
C10,0402,1,10pF,C32949
C2,1206,1,"10µ, 50V",C13585
"C3, C5, C9",0603,3,100nF,C14663
C4,1206,1,"10µF, 50V",C13585
"C6, C7",0805,2,"22µF, 25V",C45783
C8,0402,1,47pF,C1567
D1,1N5819,1,1N5819,C191023
J2,GRAVITECH_CON-SOCJ-2155,1,Barrel_Jack_Switch_Pin3Ring,
L1,L_vertical12,1,330µH,
L2,L_Bourns_SRP7028A_7.3x6.6mm,1,33µH,C177245
M1,motor_tray,1,Motor_DC,
"Q1, Q2",D882,2,D882,C9634
R1,0603,1,2k2,C4190
"R2, R3",0603,2,100k,C25803
R4,0603,1,120k,C25808
R5,0603,1,12k,C22790
RV1,Poti_10mm,1,100k,
SW1,Switch1,1,SW_DPDT_x2,
"U1, U2, U3, U4, U5, U6",Pin_2mm,6,Pin-Connector,
U7,SOT-23-6,1,TPS54202DDC,C191884
